0	In             	O               	[NA]                	[0]
1	our            	O               	[NA]                	[1]
2	maps           	O               	[NA]                	[2]
3	the            	O               	[NA]                	[3]
4	confluence     	O               	[NA]                	[4]
5	point          	B-PLACE         	[NA]                	[5]
6	would          	O               	[NA]                	[6]
7	have           	O               	[NA]                	[7]
8	to             	O               	[NA]                	[8]
9	lie            	B-NONMOTION_EVENT	[trajector]         	[10]
10	on             	B-SPATIAL_SIGNAL	[NA]                	[10]
11	a              	O               	[NA]                	[11]
12	clearing       	B-PLACE         	[landmark]          	[10]
13	.              	O               	[NA]                	[13]


0	09-Aug-2003    	O               	[NA]                	[0]
1	--             	O               	[NA]                	[1]
2	On             	O               	[NA]                	[2]
3	Saturday       	O               	[NA]                	[3]
4	,              	O               	[NA]                	[4]
5	9th            	O               	[NA]                	[5]
6	August         	O               	[NA]                	[6]
7	2003           	O               	[NA]                	[7]
8	,              	O               	[NA]                	[8]
9	Daniel         	B-SPATIAL_ENTITY	[NA]                	[9]
10	and            	O               	[NA]                	[10]
11	I              	B-SPATIAL_ENTITY	[NA]                	[11]
12	start          	B-MOTION_SIGNAL 	[NA]                	[12]
13	with           	O               	[NA]                	[13]
14	our            	O               	[NA]                	[14]
15	Enduros        	B-MOTION        	[NA]                	[15]
16	approx         	B-MEASURE       	[NA]                	[16]
17	.              	I-MEASURE       	[NA]                	[17]
18	100            	I-MEASURE       	[NA]                	[18]
19	kilometers     	I-MEASURE       	[NA]                	[19]
20	from           	O               	[NA]                	[20]
21	the            	O               	[NA]                	[21]
22	confluence     	O               	[NA]                	[22]
23	point          	B-PLACE         	[NA]                	[23]
24	.              	O               	[NA]                	[24]


0	The            	O               	[NA]                	[0]
1	last           	O               	[NA]                	[1]
2	kilometers     	B-MEASURE       	[NA]                	[2]
3	before         	O               	[NA]                	[3]
4	we             	B-SPATIAL_ENTITY	[mover]             	[5]
5	take           	B-MOTION        	[NA]                	[5]
6	the            	O               	[NA]                	[6]
7	forest         	O               	[NA]                	[7]
8	road           	B-PATH          	[mover]             	[11]
9	,              	O               	[NA]                	[9]
10	which          	O               	[NA]                	[10]
11	leads          	B-MOTION        	[NA]                	[11]
12	approximately  	O               	[NA]                	[12]
13	toward         	B-MOTION_SIGNAL 	[NA]                	[13]
14	the            	O               	[NA]                	[14]
15	confluence     	O               	[NA]                	[15]
16	point          	B-PLACE         	[NA]                	[16]
17	,              	O               	[NA]                	[17]
18	we             	B-SPATIAL_ENTITY	[mover]             	[20]
19	are            	O               	[NA]                	[19]
20	driving        	B-MOTION        	[NA]                	[20]
21	on             	B-MOTION_SIGNAL 	[NA]                	[21]
22	the            	O               	[NA]                	[22]
23	street         	B-PATH          	[NA]                	[23]
24	,              	O               	[NA]                	[24]
25	because        	O               	[NA]                	[25]
26	it             	B-PATH          	[mover]             	[27]
27	goes           	B-MOTION        	[NA]                	[27]
28	steeply        	O               	[NA]                	[28]
29	uphill         	B-MOTION_SIGNAL 	[NA]                	[29]
30	from           	B-MOTION_SIGNAL 	[NA]                	[30]
31	the            	O               	[NA]                	[31]
32	valley         	B-PLACE         	[NA]                	[32]
33	and            	O               	[NA]                	[33]
34	is             	O               	[NA]                	[34]
35	is             	O               	[NA]                	[35]
36	rather         	O               	[NA]                	[36]
37	hard           	O               	[NA]                	[37]
38	to             	O               	[NA]                	[38]
39	drive          	B-MOTION        	[NA]                	[39]
40	in             	B-MOTION_SIGNAL 	[NA]                	[40]
41	the            	O               	[NA]                	[41]
42	forest         	B-PLACE         	[NA]                	[42]
43	.              	O               	[NA]                	[43]


0	At             	B-SPATIAL_SIGNAL	[NA]                	[0]
1	the            	O               	[NA]                	[1]
2	top            	B-PLACE         	[landmark]          	[0]
3	the            	O               	[NA]                	[3]
4	forest         	B-PLACE         	[trajector]         	[0]
5	becomes        	O               	[NA]                	[5]
6	lighter        	O               	[NA]                	[6]
7	,              	O               	[NA]                	[7]
8	we             	B-SPATIAL_ENTITY	[mover, mover]      	[9, 13]
9	goe            	B-MOTION        	[NA]                	[9]
10	toward         	B-MOTION_SIGNAL 	[NA]                	[10]
